,id,name,categories,address,crossStreet,lat,lng,labeledLatLngs,distance,postalCode,cc,neighborhood,city,state,country,formattedAddress,rating
19,4eb0650ac2ee9ecbf012051a,Coffee Cart,Coffee Shop,43rd Street,Broadway,40.755354705331364,-73.98586961649815,"[{'label': 'display', 'lat': 40.755354705331364, 'lng': -73.98586961649815}]",661,,US,,New York,NY,United States,"['43rd Street (Broadway)', 'New York, NY', 'United States']",0.0
20,5978deace7a23763058f916f,Gregorys Coffee,Café,485 Lexington Ave,46th St,40.7542603,-73.97358700000001,"[{'label': 'display', 'lat': 40.7542603, 'lng': -73.97358700000001}]",773,10017,US,,New York,NY,United States,"['485 Lexington Ave (46th St)', 'New York, NY 10017', 'United States']",6.9
21,4bc30e98f8219c746e84b510,Coffee Cart (40th & 6th),Food Truck,40th St,at 6th Ave (NW Corner),40.75452153409371,-73.98477345285308,"[{'label': 'display', 'lat': 40.75452153409371, 'lng': -73.98477345285308}]",665,10018,US,,New York,NY,United States,"['40th St (at 6th Ave (NW Corner))', 'New York, NY 10018', 'United States']",0.0
22,4e3af67181301b0bdc25108f,Rize Coffee,Coffee Shop,122 E 42nd St,Lexington Ave.,40.75149158151147,-73.97639751434326,,915,10168,US,,New York,NY,United States,"['122 E 42nd St (Lexington Ave.)', 'New York, NY 10168', 'United States']",6.2
23,594406037dc9e17127add965,Optimistic Coffee,Coffee Shop,,,40.755166511752776,-73.99064463803805,"[{'label': 'display', 'lat': 40.755166511752776, 'lng': -73.99064463803805}]",1009,10018,US,Garment District,New York,NY,United States,"['New York, NY 10018', 'United States']",7.6
24,4d06216754d0236a81b0f7d5,Ali's Coffee Cart,Food Truck,49th Street,6th Avenue,40.755417055419606,-73.97701404238332,"[{'label': 'display', 'lat': 40.755417055419606, 'lng': -73.97701404238332}]",494,10022,US,,New York,NY,United States,"['49th Street (6th Avenue)', 'New York, NY 10022', 'United States']",0.0
25,4d5beb641e43236a752b1483,Coffee Cart (52nd / Lex),Coffee Shop,52nd street,Lexington Avenue,40.75776031499952,-73.97129759001946,"[{'label': 'display', 'lat': 40.75776031499952, 'lng': -73.97129759001946}]",748,10022,US,,New York,NY,United States,"['52nd street (Lexington Avenue)', 'New York, NY 10022', 'United States']",0.0
26,4eb065bfc2ee9ecbf0121652,Coffee Cart,Coffee Shop,57th Street,8th Ave,40.7667128489972,-73.98287773132324,"[{'label': 'display', 'lat': 40.7667128489972, 'lng': -73.98287773132324}]",865,,US,,New York,NY,United States,"['57th Street (8th Ave)', 'New York, NY', 'United States']",0.0
27,46bf2572f964a520e4491fe3,Viand Coffee Shop,Coffee Shop,673 Madison Ave,62nd St,40.7648438737262,-73.97043574360566,"[{'label': 'display', 'lat': 40.7648438737262, 'lng': -73.97043574360566}, {'label': 'entrance', 'lat': 40.764888, 'lng': -73.9703}]",1015,10065,US,,New York,NY,United States,"['673 Madison Ave (62nd St)', 'New York, NY 10065', 'United States']",7.0
28,4f5e82dae4b01989c438cbb6,Blue Bottle Coffee,American Restaurant,1 Rockefeller Plaza Suite N,at W 49th St,40.758217,-73.978714,"[{'label': 'display', 'lat': 40.758217, 'lng': -73.978714}]",156,10020,US,,New York,NY,United States,"['1 Rockefeller Plaza Suite N (at W 49th St)', 'New York, NY 10020', 'United States']",8.9
29,591c50dba9e4021d1d8029a1,Gregorys Coffee,Café,1407 Broadway,,40.7533502,-73.98773030000001,"[{'label': 'display', 'lat': 40.7533502, 'lng': -73.98773030000001}]",928,10018,US,,New York,NY,United States,"['1407 Broadway', 'New York, NY 10018', 'United States']",6.1
30,4a9537fcf964a520ba2220e3,Coffee Cart,Coffee Shop,50th St & 3rd Ave,,40.75571596985326,-73.97066833157265,"[{'label': 'display', 'lat': 40.75571596985326, 'lng': -73.97066833157265}]",876,,US,,New York,NY,United States,"['50th St & 3rd Ave', 'New York, NY', 'United States']",0.0
31,4b967b4ef964a520edce34e3,Coffee & Donut Cart,Food Truck,SW Corner of 39th & 5th,,40.75232157843582,-73.98739046145366,"[{'label': 'display', 'lat': 40.75232157843582, 'lng': -73.98739046145366}]",994,10016,US,,New York,NY,United States,"['SW Corner of 39th & 5th', 'New York, NY 10016', 'United States']",0.0
32,4eef4ceff9ab8c5a03bb3b6d,Journal News Coffee Bar,Convenience Store,53rd & 3rd,53rd & 3rd Ave,40.757835,-73.969333,"[{'label': 'display', 'lat': 40.757835, 'lng': -73.969333}]",909,10022,US,,New York,NY,United States,"['53rd & 3rd (53rd & 3rd Ave)', 'New York, NY 10022', 'United States']",0.0
33,4c63f11aec94a593d0eb2cca,W 39th St & Broadway Coffee Cart,Café,W 39th St & Broadway,Broadway,40.75353081677702,-73.98722517774004,"[{'label': 'display', 'lat': 40.75353081677702, 'lng': -73.98722517774004}]",884,10018,US,,New York,NY,United States,"['W 39th St & Broadway (Broadway)', 'New York, NY 10018', 'United States']",0.0
34,58a5f732739d851f18e7d791,WFM Coffee Bar,Coffee Shop,10 Columbus Cir,,40.76777,-73.98229,"[{'label': 'display', 'lat': 40.76777, 'lng': -73.98229}]",967,10019,US,,New York,NY,United States,"['10 Columbus Cir', 'New York, NY 10019', 'United States']",0.0
35,49ef714cf964a520b6681fe3,Joe Coffee,Coffee Shop,44 Grand Central Terminal,Lower Dining Concourse,40.75230735829597,-73.97536247767326,"[{'label': 'display', 'lat': 40.75230735829597, 'lng': -73.97536247767326}]",865,10017,US,,New York,NY,United States,"['44 Grand Central Terminal (Lower Dining Concourse)', 'New York, NY 10017', 'United States']",7.7
36,58a5f77037da1d5cc4f9203a,WFM Coffee Bar,Coffee Shop,226 E 57th St,,40.7600006122449,-73.9669357142857,"[{'label': 'display', 'lat': 40.7600006122449, 'lng': -73.9669357142857}]",1101,10022,US,,New York,NY,United States,"['226 E 57th St', 'New York, NY 10022', 'United States']",0.0
37,54566365498e4fb5ed4fe987,Blue Bottle Coffee,Coffee Shop,54 W 40th St,at 6th Ave,40.753027,-73.98414,"[{'label': 'display', 'lat': 40.753027, 'lng': -73.98414}]",778,10018,US,,New York,NY,United States,"['54 W 40th St (at 6th Ave)', 'New York, NY 10018', 'United States']",9.1
38,54ecdd74498ee0f30a6b870f,Studio 9C - coffee bar,Coffee Shop,30 Rock,,40.75867835843497,-73.97990664030192,"[{'label': 'display', 'lat': 40.75867835843497, 'lng': -73.97990664030192}]",64,,US,,New York,NY,United States,"['30 Rock', 'New York, NY', 'United States']",0.0
39,4ec11fdff5b93923c212cdc0,Coffee Cart,Coffee Shop,50th And 6th,,40.75999512452107,-73.98103726694443,"[{'label': 'display', 'lat': 40.75999512452107, 'lng': -73.98103726694443}]",122,11220,US,,New York,NY,United States,"['50th And 6th', 'New York, NY 11220', 'United States']",0.0
40,5f7dbf364d8d2f509cbc9762,Gumption Coffee,Coffee Shop,"120 W 45th St, New York New York 10036",,40.757115,-73.983335,"[{'label': 'display', 'lat': 40.757115, 'lng': -73.983335}]",371,10036,US,,New York,NY,United States,"['120 W 45th St, New York New York 10036', 'New York, NY 10036', 'United States']",0.0
41,4c614f0f832fa59348b2f1d3,Coffee cart,Food Truck,43rd St.,6th Ave.,40.757045,-73.980668,"[{'label': 'display', 'lat': 40.757045, 'lng': -73.980668}]",253,10036,US,,New York,NY,United States,"['43rd St. (6th Ave.)', 'New York, NY 10036', 'United States']",0.0
42,59c2a30dacb00b15be0dc0ad,Ground Central Coffee Company,Coffee Shop,888 8th Ave,Between W. 52nd & 53rd Streets,40.76393985012246,-73.98486999230091,"[{'label': 'display', 'lat': 40.76393985012246, 'lng': -73.98486999230091}]",665,10019,US,Theater District,New York,NY,United States,"['888 8th Ave (Between W. 52nd & 53rd Streets)', 'New York, NY 10019', 'United States']",8.3
43,5babd04f1f7440002c83f8f6,Ralph’s Coffee Truck,Coffee Shop,30 Rockefeller Plz,,40.75874002131587,-73.97855306140804,"[{'label': 'display', 'lat': 40.75874002131587, 'lng': -73.97855306140804}]",131,10112,US,Rockefeller Center,New York,NY,United States,"['30 Rockefeller Plz', 'New York, NY 10112', 'United States']",7.1
44,508a97e3e4b0cc3702e7a598,Coffee Cart,Food Truck,,,40.75777,-73.982427,"[{'label': 'display', 'lat': 40.75777, 'lng': -73.982427}]",266,10036,US,,New York,NY,United States,"['New York, NY 10036', 'United States']",0.0
45,4dfa1845b61c7e9df14e198b,Coffee King,Café,1501 Broadway,43rd Street,40.756593,-73.986356,"[{'label': 'display', 'lat': 40.756593, 'lng': -73.986356}]",615,10036,US,,New York,NY,United States,"['1501 Broadway (43rd Street)', 'New York, NY 10036', 'United States']",0.0
46,4d99cc0a942ba093131ca38c,A Coffee Stand,Food Truck,,,40.761155,-73.983128,"[{'label': 'display', 'lat': 40.761155, 'lng': -73.983128}]",340,,US,,,New York,United States,"['New York', 'United States']",0.0
47,4c20b8784d4a20a165209b70,Coffee Cart @ 49th St (7th Ave),Café,49th St,7th Ave,40.76064696680341,-73.98354528301306,"[{'label': 'display', 'lat': 40.76064696680341, 'lng': -73.98354528301306}]",339,,US,,New York,NY,United States,"['49th St (7th Ave)', 'New York, NY', 'United States']",0.0
48,57fed72a498e761a23d107da,For Five Coffee Shop,Coffee Shop,117 W 46th St,btwn 6th & 7th Ave,40.757818535076,-73.9832446611763,"[{'label': 'display', 'lat': 40.757818535076, 'lng': -73.9832446611763}]",320,10036,US,,New York,NY,United States,"['117 W 46th St (btwn 6th & 7th Ave)', 'New York, NY 10036', 'United States']",8.2
49,4bf13e2a3a15d13adb503f9f,Coffee Cart @ 49/Madison,Coffee Shop,,49 & Madison,40.757362,-73.976129,"[{'label': 'display', 'lat': 40.757362, 'lng': -73.976129}]",385,10017,US,,New York,NY,United States,"['New York, NY 10017', 'United States']",0.0
